,tick,all_return_1d,all_return_1d_enhanced,all_return_1d_enhanced_return,all_return_1d_enhanced_return_compound,all_return_1d_enhanced_return_compound_ls,all_return_1d_enhanced_return_ls,all_return_1d_return,all_return_1d_return_compound,all_return_1d_return_compound_ls,all_return_1d_return_ls,all_return_20d,all_return_20d_enhanced,all_return_5d,all_return_5d_enhanced,index_return_1d,index_return_1d_enhanced,index_return_1d_enhanced_return,index_return_1d_enhanced_return_compound,index_return_1d_enhanced_return_compound_ls,index_return_1d_enhanced_return_ls,index_return_1d_return,index_return_1d_return_compound,index_return_1d_return_compound_ls,index_return_1d_return_ls,index_return_20d,index_return_20d_enhanced,index_return_5d,index_return_5d_enhanced,industry_return_1d,industry_return_1d_enhanced,industry_return_1d_enhanced_return,industry_return_1d_enhanced_return_compound,industry_return_1d_enhanced_return_compound_ls,industry_return_1d_enhanced_return_ls,industry_return_1d_return,industry_return_1d_return_compound,industry_return_1d_return_compound_ls,industry_return_1d_return_ls,industry_return_20d,industry_return_20d_enhanced,industry_return_5d,industry_return_5d_enhanced,return_1d,return_1d_enhanced,return_1d_enhanced_return,return_1d_enhanced_return_compound,return_1d_enhanced_return_compound_ls,return_1d_enhanced_return_ls,return_1d_return,return_1d_return_compound,return_1d_return_compound_ls,return_1d_return_ls,return_20d,return_20d_enhanced,return_5d,return_5d_enhanced
0,600553.SH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,600048.SH,0.501,0.5882,0.440925328560771,1.5340827340709347,1.9639867214953692,0.7207796227155683,0.4272647548538486,1.480417909486457,1.4920131057451593,0.5466409280611898,0.6268,0.6288,0.5193,0.6694,0.501,0.5882,0.440925328560771,1.5340827340709347,1.9639867214953692,0.7207796227155683,0.4272647548538486,1.480417909486457,1.4920131057451593,0.5466409280611898,0.6268,0.6761,0.5193,0.6694,0.5213,0.5815,0.16282254513844152,1.1639987830696896,1.2390550741066544,0.2543818628343982,0.5821407483422841,1.6978225843559545,2.0349054014859402,0.8563929150380608,0.6308,0.7573,0.5456,0.6356,0.5176,0.6142,0.22544510085418562,1.2334921164347372,1.5351576420587896,0.46974143545173597,0.11166247116628057,1.0666649803031922,0.7932461062580045,-0.08456363931394609,0.5682,0.6178,0.4837,0.5782
2,002825.SZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,600614.SH,0.4868,0.5436,0.8185959747638979,2.1108763668643418,1.3831822181268143,0.46413604905605077,-0.8136039075013595,0.3608504572381587,0.41330858779582413,-0.46480306155336504,0.2806,0.4396,0.4341,0.4716,0.4868,0.5436,0.8185959747638979,2.1108763668643418,1.3831822181268143,0.46413604905605077,-0.8136039075013595,0.3608504572381587,0.41330858779582413,-0.46480306155336504,0.2926,0.4317,0.458,0.4476,0.5132,0.5835,0.8337853262008692,2.1709269619072344,2.378069621359439,1.0470748928244689,-0.16991329137921607,0.7283425857576141,1.5007624332314657,0.8225781706909218,0.4964,0.5196,0.5204,0.4716,0.4963,0.5237,0.14938343698652293,1.0575370947281015,1.432695960135536,0.46546823369478335,-0.11396900071250782,0.6355634466277793,1.6818713831603038,0.9344667520243388,0.3141,0.2958,0.4248,0.4531
4,600970.SH,0.5274,0.6153,0.2513165975138368,1.261987193154897,1.914913546364835,0.6881706652727415,-0.29512490094583066,0.6918551483980703,0.5867739592591023,-0.39956933190449123,0.3874,0.3516,0.5294,0.595,0.5558,0.6085,0.3722129156408974,1.4340430802187585,2.156460761764449,0.8027821240717484,0.05620515175558202,0.9934045972484672,1.1852472214576468,0.3030907734983342,0.4544,0.4801,0.5294,0.595,0.5416,0.6626,0.30662070011923653,1.3305780124564779,2.033614027652965,0.7448193243847754,-0.03296053793585968,0.8825281762424229,0.9914401594606016,0.12475939411545078,0.3245,0.2975,0.568,0.6558,0.5219,0.5358,0.04698875798303533,1.0168162736200865,1.1441759709716177,0.1900103082021422,0.014020082309711579,0.9490379701889198,1.0890718842529767,0.21872063460659322,0.6209,0.7036,0.5608,0.6529
5,000527.SZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,300122.SZ,0.5517,0.4665,-0.1503001474376643,0.8424626361404185,0.6617550185983434,-0.35440158172081015,0.9841663982806554,2.3978661819394707,2.1701227575543363,1.0096621546700948,0.6592,0.6558,0.4665,0.5206,0.5578,0.5071,-0.13175244153469942,0.8551701921176219,0.7335154345411996,-0.2485412053099373,0.960825627611331,2.3254095966186292,2.0705377706245143,0.9629806133314454,0.6592,0.6423,0.4746,0.5071,0.5517,0.5409,0.04754499183652412,1.0220375278008613,0.7769310628003542,-0.19479139473621443,0.8236787755636182,2.040179585584825,1.5742813376248497,0.6886869092360202,0.641,0.6491,0.4665,0.5003,0.5061,0.4626,-0.059861468674526616,0.9137857263930645,0.8109561032569143,-0.14561962583571744,0.6674146392552569,1.7056317995469537,1.1501207786852943,0.3761586366192975,0.5732,0.5962,0.4715,0.5217
7,300217.SZ,0.5254,0.5071,-0.07368320778711768,0.9050990573637462,0.880607092838067,-0.0879256244969383,0.03954658308447073,0.9577886406349831,1.001890821092344,0.12066888964792907,0.5456,0.7776,0.5112,0.5747,0.5355,0.5071,-0.09337386636505296,0.8869984627238909,0.8574433615894395,-0.11438793080144687,0.045878929793485956,0.9629958851990317,1.0146402802169943,0.13333358306595938,0.5456,0.7776,0.5294,0.568,0.5112,0.5206,-0.05083105128398535,0.9259081715936978,1.035210808484892,0.07511567166602372,-0.03977647504864369,0.8876704516334742,0.8548266543881325,-0.03797722661829993,0.501,0.7505,0.5132,0.5139,0.5068,0.548,-0.0021548974922886432,0.9745921282330497,0.8580873948298559,-0.1101337233305286,-0.28547739131840655,0.6991578156701135,0.5223877350291354,-0.5293790591578255,0.5594,0.7582,0.5063,0.5415
8,603580.SH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,000418.SZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
