,all_return_1d,all_return_1d_enhanced,all_return_1d_enhanced_return,all_return_1d_enhanced_return_compound,all_return_1d_enhanced_return_compound_ls,all_return_1d_enhanced_return_ls,all_return_1d_return,all_return_1d_return_compound,all_return_1d_return_compound_ls,all_return_1d_return_ls,all_return_20d,all_return_20d_enhanced,all_return_5d,all_return_5d_enhanced,index_return_1d,index_return_1d_enhanced,index_return_1d_enhanced_return,index_return_1d_enhanced_return_compound,index_return_1d_enhanced_return_compound_ls,index_return_1d_enhanced_return_ls,index_return_1d_return,index_return_1d_return_compound,index_return_1d_return_compound_ls,index_return_1d_return_ls,index_return_20d,index_return_20d_enhanced,index_return_5d,index_return_5d_enhanced,industry_return_1d,industry_return_1d_enhanced,industry_return_1d_enhanced_return,industry_return_1d_enhanced_return_compound,industry_return_1d_enhanced_return_compound_ls,industry_return_1d_enhanced_return_ls,industry_return_1d_return,industry_return_1d_return_compound,industry_return_1d_return_compound_ls,industry_return_1d_return_ls,industry_return_20d,industry_return_20d_enhanced,industry_return_5d,industry_return_5d_enhanced,return_1d,return_1d_enhanced,return_1d_enhanced_return,return_1d_enhanced_return_compound,return_1d_enhanced_return_compound_ls,return_1d_enhanced_return_ls,return_1d_return,return_1d_return_compound,return_1d_return_compound_ls,return_1d_return_ls,return_20d,return_20d_enhanced,return_5d,return_5d_enhanced,tick
13,0.5569,0.559,0.0061321998393586985,0.964871044585298,1.1967117413551964,0.31627239651460615,0.46794963339488027,1.405336263202592,2.3464852397108102,1.165108503313132,0.4617,0.5245,0.5466,0.6004,0.5694,0.5728,0.1203088261066769,1.082545202533365,1.17606042482786,0.30694670377152644,0.546713643908747,1.5191288492942256,2.746632606725732,1.3226365243408655,0.4617,0.5245,0.5466,0.6004,0.53,0.5521,0.134201414712577,1.091660003566174,1.568774800766219,0.5819511584404571,0.2610720404519579,1.111540679543133,1.550103578688682,0.7513533174272875,0.5259,0.4555,0.5445,0.628,0.5433,0.5988,0.02795257797955006,0.9776233708419951,1.5763779160535178,0.591837709365095,0.12638099784363468,0.9883684599362083,1.1828695212776457,0.4819712322106411,0.5314,0.5439,0.5865,0.647,000835.SZ
14,0.4949,0.5274,-0.09402571405828447,0.885113999400361,0.7640829158069825,-0.2260218576433392,-0.41258961116581655,0.607588915997675,0.4705649697099061,-0.6310228270229706,0.5274,0.4192,0.5254,0.5071,0.5274,0.4868,-0.24776069074886017,0.7613231311695315,0.6688374666032098,-0.3569711291828575,-0.2564656440352352,0.7161090099067207,0.6431562689622676,-0.31877489276180804,0.5274,0.4936,0.5254,0.5409,0.4888,0.5139,-0.08628786560291801,0.8911732169887394,0.7142611352068555,-0.29343936040503,-0.4536609595594275,0.5789563870875926,0.43341256548068396,-0.7131655238101922,0.5091,0.6018,0.499,0.595,0.5032,0.5662,0.30659735668972565,1.3196515733682461,1.3471885726866635,0.33175706214414785,-0.23021515905465972,0.7086194270541961,0.6780584997375014,-0.26627392280065704,0.4286,0.6599,0.4547,0.5144,601919.SH
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300535.SZ
16,0.4734,0.5191,-0.03571428571428571,0.9642857142857143,0.6564010498371032,-0.3067333271318833,-0.0443891933113823,0.9556606664318228,0.3782842265142421,-0.6738143181005357,0.4775,0.485,0.4877,0.5533,0.4795,0.5191,0.0,1.0,0.9844591526572828,0.08448733135736447,0.0,1.0,0.4134182235345825,-0.5850359314777711,0.4775,0.485,0.4877,0.526,0.5061,0.5055,0.0,1.0,0.7094029687365596,-0.24289770554187942,0.0,1.0,0.4134182235345825,-0.5850359314777711,0.4959,0.4577,0.498,0.5669,0.4896,0.4633,0.0,1.0,0.687420090658882,-0.29336688790601606,0.0,1.0,0.4134182235345825,-0.5850359314777709,0.5236,0.4312,0.5,0.4184,000555.SZ
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,603103.SH
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,688080.SH
19,0.5346,0.542,-0.08472316739691006,0.9069298166398608,1.0885411748811484,0.11719911890531882,0.22205818508476277,1.2017126122887747,1.543247412287725,0.5265988135091006,0.4898,0.3591,0.5163,0.5217,0.5346,0.542,-0.08472316739691006,0.9069298166398608,1.0885411748811484,0.11719911890531882,0.22205818508476277,1.2017126122887747,1.543247412287725,0.5265988135091006,0.4898,0.3591,0.5163,0.5217,0.5447,0.6504,0.10356620015388027,1.0962939063092698,1.3922387289562244,0.3536738708532047,0.14212004651849594,1.0946180735343995,1.3151852643516921,0.36672253637656693,0.4553,0.3252,0.5122,0.5149,0.5053,0.5895,0.07106778581589332,1.0562554091911225,1.3374548824237833,0.31875217681663803,-0.0036560856335955405,0.9446135079746921,0.9823290187958607,0.07517027207238407,0.4837,0.6911,0.5361,0.5636,601933.SH
20,0.5061,0.5352,0.11489872819793107,1.1118214486062739,1.6199439121566892,0.5099853987295024,-0.047611051269802224,0.9157635036324573,1.3485991849559498,0.3827333852926552,0.5508,0.4946,0.5122,0.5149,0.5061,0.5352,0.11489872819793107,1.1118214486062739,1.6199439121566892,0.5099853987295024,-0.047611051269802224,0.9157635036324573,1.3485991849559498,0.3827333852926552,0.5508,0.4946,0.5142,0.5081,0.5122,0.5014,0.21742688985444628,1.2264275764223445,1.6447213996980838,0.5217108799492032,-0.1237764874981431,0.8387776189527723,1.159446599821588,0.23040251283597374,0.5569,0.5691,0.4939,0.5014,0.5276,0.6034,0.2816367107814526,1.30763923328331,1.7840432610163166,0.6202525706402738,0.04669809400571691,1.017451689243881,1.6307309129006082,0.5713516758436935,0.6464,0.7252,0.5729,0.5849,600693.SH
21,0.5071,0.5882,0.2432758438497838,1.2479232704341239,1.4073756298960924,0.440961303240229,0.4722620305486971,1.4125011151247402,0.8920837285013881,0.1891598840844699,0.6308,0.7099,0.5375,0.5409,0.4929,0.5882,0.17914516982525117,1.1682278195302391,1.3226239629921006,0.3754842717837624,0.2849059397234353,1.1687171607737017,0.6132003120681113,-0.18555229756605374,0.6329,0.7235,0.5477,0.5477,0.5213,0.595,-0.024308655123987912,0.9531761059001932,0.9663396961631074,0.07088127710873941,0.3591984229760915,1.2759818844025856,0.7116213445408617,-0.036967331060741127,0.6187,0.568,0.5497,0.5882,0.5105,0.5415,0.031795433024449996,0.9958933083703532,0.9995119382979439,0.1302092772997623,0.38439835669980366,1.314939663188977,0.7483041855111227,0.01343253638668293,0.5081,0.6369,0.5135,0.6004,002057.SZ
22,0.4885,0.5376,0.03041068429595406,1.0008402069590987,0.8123462981899343,-0.16222742715158572,-0.09844991588751634,0.8226653094981761,0.5540336059316958,-0.4594353971318539,0.4263,0.3917,0.4816,0.4531,0.4885,0.5376,-0.16533982797367547,0.8285452440527894,0.7470150269853079,-0.2520893493568493,0.007723672110893309,0.9207031499649497,0.6852550790904199,-0.24708822113503454,0.4263,0.3917,0.4816,0.4531,0.4608,0.4762,0.019365338193337113,0.9969267736617611,0.8658983995125937,-0.10503873277360141,0.06445216645510618,0.9769099877422726,0.7676135201783687,-0.1336312324466089,0.447,0.3456,0.4654,0.5146,0.4792,0.4808,-0.13681924656703798,0.8654036478930098,1.0806970138085037,0.12016425393714529,-0.08790930045606196,0.8981127728273736,0.5659577396251381,-0.43835416626894497,0.3884,0.4651,0.5047,0.3972,600877.SH
